category,name,country,website
Ports,ESPO,Belgium,www.espo.be
Ports,GIINGL,International,www.giignl.org
Ports,Hewett UK Bacton,UK,
Ports,IAPH,International,www.iaphworldports.org
Ports,Karsto,Norway,
Ports,Kollness,Norway,
Ports,Port Authority of Trieste,Italy,www.porto.trieste.it
Ports,Port Authority of Civitavecchia,Italy,www.portidiroma.it
Ports,Port Authority of Mantova,Italy,
Ports,Port Authority of Piombino,Italy,www.ap.piombinoelba.it
Ports,Port Authority of Savona,Italy,www.porto.sv.it
Ports,Port Authority of Venice,Italy,www.port.venice.it/en
Ports,Port Authority of Zeebrugge,Belgium,www.portofzeebrugge.be/en/zeebrugge
Ports,Port of Baku,Azerbaijan,
Ports,Port of Koper,Slovenia,https://luka-kp.si/eng/
Ports,Port Authority of Rijeka,Croatia,www.portauthority.hr/en/
Ports,Special Authority for the Port of Monfalcone,Italy,www.porto.monfalcone.gorizia.it/eng/
Regulators,AMSA,Australia,www.amsa.gov.au
Regulators,DNV - GL,Norway,www.dnvgl.com
Regulators,EMSA,Europe,www.emsa.europa.eu
Regulators,IACS,International,www.iacs.org.uk
Regulators,Lloyd’s Register TID,UK,www.lr.org
Regulators,Norsok,Norway,www.standard.no
Regulators,RINA Sp.A.,Italy,www.rina.org
Regulators,US Coast Guard,USA,www.uscg.mil
Scientific & Research community,LabOceano,Brazil,www.laboceano.coppe.ufrj.br
Scientific & Research community,"University of Strathclyde, Department of Naval Architecture, Ocean and Marine Engineering",UK,www.strath.ac.uk/engineering/navalarchitectureoceanmarineengineering/
Scientific & Research community,"Technological Educational Institute of Athens, Department of Naval Architecture",Greece,www.na.teiath.gr/index_en.html
Scientific & Research community,"Gdansk University of Technology, Faculty of Ocean Engineering and Ship Technology",Poland,oio.pg.edu.pl/en
Scientific & Research community,Institut Français du Pétrole,France,www.ifpenergiesnouvelles.fr
Scientific & Research community,LAMCSO – Laboratorio de Metodos Computacionais e Sistemas Offshore,Brazil,www.lamcso.coppe.ufrj.br
Scientific & Research community,"National Technical University of Athens, School of Naval Architecture & Marine Engineering",Greece,www.ntua.gr/en/schools/item/8-school-of-naval-architecture-andmaringe-engineering
Scientific & Research community,Sirehna,France,www.sirehna.com
Scientific & Research community,"University of Genova, Naval Architecture and Marine Engineering Unit (DITEN)",Italy,www.dibe.unige.it
Shipping industry,AET (American Eagle Tankers),Singapore (HQ),www.aet-tankers.com
Shipping industry,CANSI,China,www.chinaexhibition.com/Official_Site/21-553-China_Association_of_the_Naioal_Shipbuilding_Industry_(CANSI).html
Shipping industry,Caterpillar,USA,www.caterpillar.com
Shipping industry,CESA,Europe,www.cesa-shipbuilding.org
Shipping industry,Cetena Sp.A.,Italy,www.cetena.it
Shipping industry,Chemgas,Netherlands,www.chemgas.nl
Shipping industry,China Shipping Tanker Co Ltd,China,www.cstanker.com/en/
Shipping industry,CIMC Raffles,China,www.cimcraffles.com/en/enterprise/raffles
Shipping industry,Dunya Shipping,Turkey,www.dunyashipping.com
Shipping industry,Dynagas,Greece,www.dynagas.com
Shipping industry,ECSA,Europe,www.ecsa.eu
Shipping industry,European Ships and Maritime Equipment Association,,www.seaeurope.eu
Shipping industry,Fincantieri SpA,Italy,www.fincantieri.com/en
Shipping industry,Gaslog,Greece,www.gaslogltd.com
Shipping industry,Gazpro,Greece,www.gazpro.gr
Shipping industry,Hantong,China,www.cnhtship.com/english/aboutus.asp
Shipping industry,Hellenic Chamber of Shipping,Greece,www.globalmaritimehub.com/directory/hellenic-chamber-ofshipping.html
Shipping industry,Hyundai Shipyard,South Korea,english.hhi.co.kr/biz/ship_over
Shipping industry,K&H Maritime Ltd,Israel,www.khmaritime.com
Shipping industry,Knutsen OAS Shipping,Norway,knutsenoas.com
Shipping industry,KOSHIPA,Korea,www.koshipa.or.kr/eng/koshipa/koshipa3/companies01_1.htm
Shipping industry,MainTank Schifffahrtsgesellschaft mbH,Germany,maintank.com
Shipping industry,Man,Germany,marine.man.eu
Shipping industry,MaranGas,Greece,www.marangas.com
Shipping industry,Mitsui Engineering & Shipbuilding Co Ltd,Japan,www.mes.co.jp
Shipping industry,Nanjing Tanker Corporation,China,www.njtc.com.cn
Shipping industry,Naval Group,France,www.naval-group.com
Shipping industry,Ocean Tankers Ship Management,Singapore (HQ),www.oceantankers.com.sg
Shipping industry,Prime Marine,Greece,www.prime-marine.net
Shipping industry,Rolls royce,UK,www.rolls-royce.com/productsand-services/marine.aspx
Shipping industry,SAJ,Japan,www.sajn.or.jp/e/membership
Shipping industry,Samsung Shipyard,South Korea,www.samsungshi.com/eng/default.aspx
Shipping industry,SeaTrans,Norway,www.seatrans.no
Shipping industry,TMS Cardiff Gas,Greece,www.tms-cardiffgas.com
Shipping industry,VDR,Germany,www.reederverband.de/en.html
Shipping industry,Wärtsilä,Finland,www.wartsila.com
